# Updated 3/29/13 9:50 PM by Minecraft 1.5
# victim name | ban date | banned by | banned until | reason

wadeldo|2013-03-20 21:11:48 +0000|shudgeons|Forever|Banned by an operator.
julian|2013-03-20 20:56:01 +0000|shudgeons|Forever|Banned by an operator.
aswii|2013-03-20 21:01:19 +0000|shudgeons|Forever|Banned by an operator.
sumthingstipid9|2013-03-20 21:06:12 +0000|shudgeons|Forever|Banned by an operator.
daisy|2013-03-20 21:10:28 +0000|shudgeons|Forever|Banned by an operator.
daisy7897721|2013-03-20 21:10:58 +0000|shudgeons|Forever|Banned by an operator.
Nealbros|2013-03-20 21:20:50 +0000|shudgeons|Forever|Banned by an operator.
princesspritzi|2013-03-20 21:22:17 +0000|shudgeons|Forever|Banned by an operator.
